#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 279887:5270 | 09/01/16 23:20:52 | 316  | 316  | 77912783.493   | 74726998.027  |
| 279931:5274 | 09/02/16 11:37:39 | 2934 | 2934 | 502188847.833  | 487163941.758 |
| 279966:5275 | 09/03/16 09:20:25 | 363  | 363  | 98669077.993   | 94645879.718  |
| 279975:5276 | 09/03/16 14:45:09 | 1024 | 1024 | 252849747.765  | 243663580.912 |
| 279993:5277 | 09/04/16 00:23:27 | 72   | 72   | 19584648.504   | 18378442.710  |
| 279994:5277 | 09/04/16 00:56:48 | 47   | 47   | 13340272.803   | 12588587.104  |
| 280013:5277 | 09/04/16 03:35:47 | 25   | 25   | 5987599.426    | 5750607.685   |
| 280015:5277 | 09/04/16 03:55:19 | 572  | 572  | 122374157.516  | 117766358.581 |
| 280016:5277 | 09/04/16 07:42:16 | 149  | 149  | 28222189.728   | 27220000.566  |
| 280017:5277 | 09/04/16 08:45:47 | 608  | 608  | 103495897.545  | 100514412.473 |
| 280018:5277 | 09/04/16 12:47:05 | 1281 | 1281 | 168200395.941  | 163801060.828 |
| 280020:5277 | 09/04/16 21:15:15 | 45   | 45   | 4939219.118    | 4760566.595   |
| 280024:5277 | 09/04/16 21:47:39 | 427  | 427  | 43999825.261   | 43199132.389  |
| 280187:5279 | 09/05/16 20:24:23 | 56   | 56   | 14590053.789   | 13453706.723  |
| 280188:5279 | 09/05/16 20:50:25 | 245  | 245  | 65352189.873   | 62683146.728  |
| 280191:5279 | 09/05/16 22:40:17 | 897  | 897  | 189830932.877  | 183010416.527 |
| 280194:5279 | 09/06/16 06:00:49 | 238  | 238  | 37355759.065   | 36243753.010  |
| 280242:5282 | 09/06/16 15:43:40 | 625  | 625  | 156851139.416  | 150585002.078 |
| 280249:5282 | 09/06/16 19:52:07 | 1432 | 1432 | 253447732.743  | 245266920.562 |
| 280251:5282 | 09/07/16 05:14:58 | 371  | 371  | 49876323.417   | 48584522.710  |
| 280327:5287 | 09/08/16 08:23:13 | 37   | 37   | 9723976.925    | 8880042.713   |
| 280330:5287 | 09/08/16 08:46:53 | 857  | 857  | 197040527.841  | 189770846.464 |
| 280349:5287 | 09/08/16 14:27:22 | 620  | 620  | 110287894.530  | 106678976.510 |
| 280363:5287 | 09/08/16 18:47:24 | 359  | 359  | 53213683.837   | 51470953.438  |
| 280364:5287 | 09/08/16 21:09:57 | 1349 | 1349 | 165874947.925  | 160091747.248 |
| 280383:5288 | 09/09/16 08:41:13 | 2    | 2    | 554395.069     | 252479.425    |
| 280384:5288 | 09/09/16 08:49:12 | 33   | 33   | 8614222.470    | 7953527.868   |
| 280385:5288 | 09/09/16 09:11:36 | 2012 | 2012 | 387389005.219  | 373398626.841 |
| 281613:5331 | 09/25/16 06:03:32 | 791  | 791  | 11654010.022   | 10051557.854  |
| 281639:5338 | 09/26/16 07:45:13 | 132  | 132  | 20624960.324   | 19361469.010  |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 41973481.263   | 40201128.739  |
| 281693:5339 | 09/26/16 16:57:00 | 2191 | 2191 | 398688089.693  | 385577742.673 |
| 281707:5340 | 09/27/16 09:47:29 | 950  | 950  | 228407861.722  | 218993710.599 |
| 281726:5340 | 09/27/16 16:14:38 | 288  | 288  | 52402724.310   | 50626322.808  |
| 281727:5340 | 09/27/16 18:10:03 | 1605 | 1605 | 214040081.152  | 207989239.713 |
| 281797:5345 | 09/28/16 12:04:48 | 2052 | 2052 | 422136290.178  | 406997374.905 |
| 281975:5351 | 09/30/16 03:23:12 | 215  | 215  | 59479344.088   | 54922155.929  |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 362726159.827  | 348927165.097 |
| 282033:5352 | 09/30/16 21:30:43 | 36   | 36   | 9115161.972    | 8406095.677   |
| 282034:5352 | 09/30/16 21:48:05 | 33   | 33   | 9496218.484    | 8782967.245   |
| 282035:5352 | 09/30/16 22:03:01 | 40   | 40   | 11134968.481   | 9577904.326   |
| 282037:5352 | 09/30/16 22:24:14 | 1861 | 1861 | 353894510.118  | 339568684.963 |
| 282092:5355 | 10/02/16 13:49:37 | 1784 | 1784 | 314544269.482  | 304389876.771 |
| 282708:5391 | 10/09/16 08:39:30 | 8    | 8    | 2536503.030    | 2150646.645   |
| 282710:5391 | 10/09/16 08:49:08 | 3    | 3    | 890554.597     | 351857.682    |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 17808228.737   | 16958776.516  |
| 282730:5393 | 10/09/16 12:41:53 | 76   | 76   | 22625842.446   | 20701868.913  |
| 282731:5393 | 10/09/16 13:13:59 | 172  | 172  | 51120204.594   | 48269231.017  |
| 282732:5393 | 10/09/16 14:23:16 | 69   | 69   | 19152537.491   | 18400170.500  |
| 282733:5393 | 10/09/16 14:52:26 | 177  | 177  | 45728063.913   | 43994125.185  |
| 282734:5393 | 10/09/16 16:03:11 | 327  | 327  | 74727395.817   | 72010338.482  |
| 282735:5393 | 10/09/16 18:12:39 | 1819 | 1819 | 284972034.731  | 276956744.539 |
| 282800:5394 | 10/10/16 14:17:15 | 377  | 377  | 99080828.597   | 95361633.633  |
| 282807:5394 | 10/10/16 16:48:03 | 326  | 326  | 76092119.923   | 72103040.559  |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 292784724.078  | 283804918.238 |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 24875791.757   | 23876708.288  |
| 282917:5401 | 10/12/16 01:27:07 | 74   | 74   | 19252833.560   | 18303715.550  |
| 282918:5401 | 10/12/16 02:00:22 | 51   | 51   | 13693540.977   | 13124586.570  |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 60583831.930   | 58416429.385  |
| 282922:5401 | 10/12/16 05:09:33 | 131  | 131  | 28008724.981   | 26121509.521  |
| 282923:5401 | 10/12/16 06:04:20 | 219  | 219  | 43547231.766   | 41478847.374  |
| 283042:5405 | 10/12/16 22:38:59 | 6    | 6    | 1631512.475    | 1446042.743   |
| 283043:5405 | 10/12/16 22:44:16 | 517  | 517  | 124513888.241  | 119189872.773 |
| 283049:5406 | 10/13/16 05:05:17 | 12   | 12   | 3950197.568    | 3178233.164   |
| 283050:5406 | 10/13/16 05:13:23 | 212  | 212  | 63055772.101   | 58892994.295  |
| 283052:5406 | 10/13/16 06:45:19 | 111  | 111  | 30744840.717   | 29303314.348  |
| 283059:5406 | 10/13/16 08:00:56 | 450  | 450  | 105239193.482  | 100946249.376 |
| 283270:5416 | 10/14/16 18:39:48 | 1833 | 1833 | 403252520.239  | 389919735.799 |
| 283283:5416 | 10/15/16 06:37:08 | 1744 | 1744 | 208655080.166  | 203589198.289 |
| 283305:5418 | 10/15/16 21:41:13 | 7    | 7    | 2183158.510    | 1411806.066   |
| 283306:5418 | 10/15/16 21:46:57 | 289  | 289  | 81637267.461   | 78192738.693  |
| 283307:5418 | 10/15/16 23:43:44 | 454  | 454  | 106982779.235  | 102418826.674 |
| 283308:5418 | 10/16/16 02:46:26 | 945  | 945  | 170854391.198  | 164476160.572 |
| 283353:5421 | 10/16/16 19:55:17 | 743  | 743  | 201706396.744  | 194655540.943 |
| 283358:5421 | 10/17/16 00:50:19 | 980  | 980  | 185997070.117  | 176656275.194 |
| 283359:5421 | 10/17/16 07:15:19 | 428  | 428  | 64074584.172   | 62557234.674  |
| 283407:5423 | 10/17/16 21:54:07 | 33   | 33   | 11080609.216   | 9951005.744   |
| 283408:5423 | 10/17/16 22:10:43 | 2344 | 2344 | 483966873.667  | 467532657.663 |
| 283416:5423 | 10/18/16 15:16:09 | 195  | 195  | 22935051.214   | 22305649.768  |
| 283453:5424 | 10/18/16 19:07:49 | 455  | 455  | 130871048.709  | 125417463.975 |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 340373.797     | 31839.543     |
| 283478:5427 | 10/19/16 04:13:19 | 874  | 874  | 222718312.011  | 214416210.907 |
| 283548:5433 | 10/19/16 22:58:39 | 144  | 144  | 30349037.548   | 29351170.049  |
| 283680:5437 | 10/21/16 03:17:51 | 81   | 81   | 20117676.387   | 19334541.756  |
| 283681:5437 | 10/21/16 03:56:07 | 17   | 17   | 4101178.420    | 3895523.325   |
| 283682:5437 | 10/21/16 04:08:38 | 384  | 384  | 84471061.913   | 81925002.349  |
| 283685:5437 | 10/21/16 06:39:38 | 314  | 314  | 22016059.686   | 20937041.799  |
| 283820:5439 | 10/21/16 20:48:18 | 1482 | 1482 | 274772438.973  | 265822310.548 |
| 283830:5439 | 10/22/16 06:27:24 | 722  | 722  | 108171322.130  | 105224509.564 |
| 283834:5439 | 10/22/16 11:11:28 | 81   | 81   | 10572151.973   | 9286138.700   |
| 283835:5439 | 10/22/16 11:45:28 | 111  | 111  | 13384482.490   | 11665733.579  |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 279348274.240  | 270061556.311 |
| 283876:5442 | 10/23/16 03:38:50 | 657  | 657  | 173444428.390  | 166990251.487 |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 260338299.723  | 252213977.489 |
| 283884:5443 | 10/23/16 23:44:05 | 404  | 404  | 108696465.585  | 103870515.652 |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | 1723 | 306740045.179  | 298066639.959 |
| 283933:5446 | 10/24/16 18:32:31 | 145  | 145  | 42957151.700   | 41003154.700  |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 285920430.827  | 275397412.600 |
| 283946:5448 | 10/25/16 07:30:41 | 1377 | 1377 | 318400094.779  | 306553854.732 |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 62240861.704   | 60336111.482  |
| 284006:5450 | 10/26/16 01:53:26 | 318  | 318  | 61216140.874   | 59130697.336  |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 50379890.765   | 49046986.883  |
| 284025:5451 | 10/26/16 08:56:43 | 48   | 48   | 12839487.368   | 12406444.074  |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 32329147.945   | 30463587.690  |
| 284035:5451 | 10/26/16 10:04:52 | 360  | 360  | 92405842.040   | 89360320.336  |
| 284036:5451 | 10/26/16 12:28:09 | 346  | 346  | 76504764.868   | 73363600.601  |
| 284037:5451 | 10/26/16 14:48:03 | 340  | 340  | 65981465.096   | 63957778.018  |
| 284038:5451 | 10/26/16 17:02:16 | 55   | 55   | 9960801.031    | 9343063.247   |
| 284039:5451 | 10/26/16 17:27:02 | 30   | 30   | 5335788.740    | 4924264.294   |
| 284040:5451 | 10/26/16 17:42:18 | 33   | 33   | 5803168.007    | 5591994.812   |
| 284041:5451 | 10/26/16 17:59:11 | 44   | 44   | 7418697.742    | 6997432.341   |
| 284042:5451 | 10/26/16 18:23:53 | 129  | 129  | 21160352.721   | 20243316.130  |
| 284043:5451 | 10/26/16 19:17:23 | 220  | 220  | 33372390.211   | 32611087.117  |
| 284044:5451 | 10/26/16 20:46:05 | 30   | 30   | 4497704.045    | 4409722.107   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+--------+--------+-------------------+------------------+
| 144   | 393  | 232176 | 232171 | 38365423016.883   | 36809890200.625  |
+-------+------+--------+--------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
