#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 274335:4980 | 06/02/16 09:10:43 | 944  | 944  | 152993017.083  | 146491732.457 |
| 274336:4980 | 06/02/16 15:25:02 | 14   | 14   | 2062375.831    | 1790263.505   |
| 274337:4980 | 06/02/16 15:33:18 | 15   | 15   | 2199109.630    | 1831090.279   |
| 274338:4980 | 06/02/16 15:41:22 | 698  | 698  | 97017132.286   | 91493706.851  |
| 274339:4980 | 06/02/16 20:15:40 | 84   | 84   | 10820785.627   | 10377782.305  |
| 274344:4980 | 06/02/16 21:29:06 | 627  | 627  | 74468700.694   | 71995570.263  |
| 274345:4980 | 06/03/16 01:37:46 | 170  | 170  | 18841757.390   | 18266582.622  |
| 274382:4984 | 06/03/16 15:37:56 | 51   | 51   | 8189288.918    | 7622787.273   |
| 274387:4985 | 06/03/16 19:10:09 | 352  | 352  | 63273677.370   | 59660679.277  |
| 274388:4985 | 06/03/16 21:32:38 | 1820 | 1820 | 270810636.784  | 261038800.403 |
| 274420:4988 | 06/04/16 20:17:21 | 175  | 175  | 30260632.752   | 28799015.579  |
| 274421:4988 | 06/04/16 21:28:04 | 342  | 342  | 57588871.090   | 55267231.822  |
| 274422:4988 | 06/04/16 23:46:51 | 2207 | 2207 | 293872359.224  | 284957505.173 |
| 274440:4990 | 06/05/16 19:32:38 | 402  | 402  | 67961369.250   | 65179944.181  |
| 274441:4990 | 06/05/16 22:13:06 | 431  | 431  | 67851076.814   | 65643264.358  |
| 274442:4990 | 06/06/16 01:05:09 | 752  | 752  | 105162026.148  | 101738861.928 |
| 274954:5005 | 06/11/16 09:40:51 | 20   | 20   | 1190249.403    | 990679.863    |
| 274955:5005 | 06/11/16 09:52:07 | 91   | 91   | 5140195.806    | 4903780.935   |
| 274968:5013 | 06/11/16 22:51:22 | 1192 | 1192 | 207879416.872  | 198787386.103 |
| 274969:5013 | 06/12/16 06:41:54 | 1003 | 1003 | 139617937.245  | 130136824.076 |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 5862019.157    | 4426188.047   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 103786644.679  | 100582997.672 |
| 274998:5017 | 06/13/16 04:19:54 | 718  | 718  | 122407008.753  | 115887069.133 |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | 1241 | 173324632.161  | 167346833.683 |
| 275000:5017 | 06/13/16 17:15:35 | 136  | 136  | 16815130.514   | 16276448.639  |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 209271135.310  | 203827216.709 |
| 275059:5020 | 06/14/16 16:49:52 | 37   | 37   | 6877324.014    | 6237815.233   |
| 275066:5020 | 06/14/16 17:45:35 | 96   | 96   | 19692977.855   | 18717462.852  |
| 275067:5020 | 06/14/16 18:28:40 | 392  | 392  | 75485267.286   | 72728810.479  |
